기업명,코드,업종,15회업종분류,"규모
코드","내부
지분율
(4)","전문경영인정도
(3)","소비성
지출
(3)","위험성
(5)","관계사
출자
(3)","관계사
지급보증
(2)","건전성
(20점)","공정거래1
(1)","공정거래2
(2)","불성실
공시
(2)","
사업
보고서 
적정성
(2)","사외이사비율
(2)","사외이사의이사회
참여
(2)","공정성
(11점)","장애인
고용비율
(2)","여성
채용비율
(2)","기부금
(3)","사회봉사
기여도
(7)","공산품사후봉사
우수기업인증
(2)","품질
관련인증
(3)","광고비
과다지출
(2)","소비자보호만족도
총점
(7)","환경
회계공시
(2)","에너지
효율
(2)","환경관련인증 
및 수상
(3)","수,대,특 
오염실태(3)","환경보호만족도
총점
(10)","작업장
보건
안전인증(2)","1인당
교육훈련비
(2)","교육훈련비
증가율
(2)","임금
보상체계
(2)","복지후생
(2)","종업원
만족도
총점
(10)","연구개발지출
(제조2점/
비제조3점)","특허및장영실상
(제조1점)","수익성
(1)","성장성
(1)","설비투자
(제조1점)","고용인력
증가율
(비제조1점)","조세납부
(제조1점,
비제조2점)","배당성향
(1)","노동생산성
증가율
(1)","수출비중
(제조1점)","경제발전
기여도
(10)","정량평가
총점
(75)"
삼성SDI,' 06400,영상통신장비제조,전기전자/기계업,1 ,3.30 ,2.55 ,3.00 ,5.00 ,1.65 ,1.40 ,16.90 ,0.85 ,1.70 ,1.70 ,2.00 ,2.00 ,2.00 ,10.25 ,0.75 ,1.40 ,3.00 ,5.15 ,1.00 ,0.75 ,1.50 ,3.25 ,1.70 ,1.40 ,2.10 ,2.55 ,7.75 ,1.50 ,2.00 ,0.98 ,0.94 ,0.68 ,6.10 ,1.70 ,1.00 ,0.57 ,0.26 ,1.00 ,,0.33 ,0.28 ,0.44 ,0.85 ,6.43 ,55.82 
POSCO(포스코),' 05490,제1차금속산업,금속/비금속/화학업,1 ,3.89 ,2.55 ,3.00 ,5.00 ,1.65 ,1.70 ,17.79 ,0.85 ,1.70 ,1.70 ,1.60 ,2.00 ,1.50 ,9.35 ,1.84 ,1.70 ,3.00 ,6.54 ,1.00 ,1.20 ,1.50 ,3.70 ,1.70 ,1.40 ,0.75 ,2.55 ,6.40 ,1.50 ,2.00 ,0.83 ,0.50 ,0.51 ,5.34 ,1.10 ,0.85 ,0.86 ,0.26 ,1.00 ,,0.74 ,0.28 ,0.56 ,0.55 ,6.20 ,55.32 
케이티앤지,' 33780,담배제조업,식약/섬유/종이업,1 ,3.88 ,2.55 ,3.00 ,5.00 ,1.65 ,1.70 ,17.78 ,0.55 ,1.10 ,1.70 ,2.00 ,2.00 ,2.00 ,9.35 ,2.00 ,0.50 ,3.00 ,5.50 ,1.00 ,1.20 ,1.50 ,3.70 ,1.00 ,1.40 ,1.65 ,2.55 ,6.60 ,0.50 ,2.00 ,0.92 ,1.02 ,0.80 ,5.24 ,1.10 ,0.70 ,0.67 ,0.26 ,1.00 ,,1.00 ,0.39 ,0.49 ,0.55 ,6.16 ,54.33 
SK,' 03600,석유정제품제조,금속/비금속/화학업,1 ,3.47 ,2.55 ,3.00 ,3.50 ,1.20 ,1.70 ,15.42 ,0.55 ,1.70 ,1.70 ,2.00 ,2.00 ,2.00 ,9.95 ,0.99 ,1.70 ,3.00 ,5.69 ,1.00 ,1.20 ,1.50 ,3.70 ,1.70 ,1.40 ,2.55 ,2.55 ,8.20 ,0.50 ,2.00 ,0.98 ,0.57 ,0.55 ,4.60 ,1.40 ,0.80 ,0.89 ,0.26 ,1.00 ,,0.38 ,0.27 ,0.95 ,0.70 ,6.66 ,54.20 
제일모직,' 01300,화학제품제조업(소비재),식약/섬유/종이업,1 ,3.73 ,2.55 ,3.00 ,3.50 ,1.65 ,1.40 ,15.83 ,0.85 ,1.70 ,1.70 ,2.00 ,0.50 ,2.00 ,8.75 ,0.81 ,0.50 ,2.58 ,3.88 ,1.70 ,1.20 ,1.50 ,4.40 ,1.70 ,1.40 ,2.55 ,2.55 ,8.20 ,1.50 ,2.00 ,0.95 ,1.07 ,0.87 ,6.39 ,1.70 ,0.70 ,0.50 ,0.26 ,1.00 ,,0.35 ,0.30 ,0.50 ,0.70 ,6.02 ,53.46 
GS건설(지에스건설),' 06360,종합건설업,비제조/서비스업,1 ,2.95 ,2.55 ,3.00 ,4.25 ,1.65 ,1.70 ,16.10 ,0.85 ,1.70 ,1.70 ,2.00 ,2.00 ,2.00 ,10.25 ,0.57 ,0.80 ,1.91 ,3.28 ,1.00 ,1.20 ,1.50 ,3.70 ,1.70 ,0.50 ,1.65 ,2.55 ,6.40 ,1.50 ,2.00 ,1.19 ,1.19 ,1.14 ,7.03 ,2.10 ,,0.60 ,0.26 ,,0.85 ,0.71 ,0.31 ,0.39 ,,5.22 ,51.98 
삼성전자,' 05930,영상통신장비제조,전기전자/기계업,1 ,3.40 ,2.55 ,1.20 ,5.00 ,1.65 ,1.70 ,15.50 ,0.55 ,1.10 ,1.70 ,2.00 ,2.00 ,1.50 ,8.85 ,0.60 ,1.70 ,2.18 ,4.48 ,1.00 ,1.20 ,1.50 ,3.70 ,1.70 ,1.70 ,2.55 ,2.55 ,8.50 ,1.50 ,0.50 ,0.50 ,0.50 ,0.50 ,3.50 ,2.00 ,1.00 ,0.96 ,0.26 ,1.00 ,,0.51 ,0.27 ,0.58 ,0.85 ,7.43 ,51.96 
경동보일러,' 09450,기타장비제조업,전기전자/기계업,2 ,2.44 ,2.55 ,3.00 ,5.00 ,2.55 ,0.80 ,16.34 ,0.85 ,1.70 ,1.70 ,1.60 ,1.50 ,2.00 ,9.35 ,1.13 ,0.50 ,3.00 ,4.63 ,1.70 ,1.20 ,1.00 ,3.90 ,1.00 ,0.50 ,2.10 ,2.55 ,6.15 ,0.50 ,2.00 ,0.68 ,1.83 ,1.60 ,6.61 ,1.10 ,0.70 ,0.38 ,0.26 ,0.62 ,,0.32 ,0.28 ,0.40 ,0.55 ,4.61 ,51.58 
케이티,' 30200,통신업,비제조/서비스업,1 ,3.87 ,2.55 ,3.00 ,5.00 ,1.20 ,1.70 ,17.32 ,0.25 ,0.50 ,1.70 ,1.60 ,2.00 ,1.50 ,7.55 ,2.00 ,1.70 ,1.88 ,5.58 ,1.70 ,1.20 ,1.50 ,4.40 ,1.00 ,0.50 ,0.75 ,2.55 ,4.80 ,0.50 ,2.00 ,0.81 ,1.44 ,1.42 ,6.16 ,2.55 ,,0.70 ,0.26 ,,0.40 ,1.03 ,0.35 ,0.41 ,,5.69 ,51.52 
두산중공업,' 34020,기타장비제조업,전기전자/기계업,1 ,2.57 ,2.55 ,3.00 ,3.50 ,1.65 ,1.40 ,14.67 ,0.55 ,1.10 ,1.70 ,2.00 ,2.00 ,1.50 ,8.85 ,1.69 ,0.80 ,1.78 ,4.27 ,1.00 ,1.20 ,1.50 ,3.70 ,1.70 ,1.40 ,1.65 ,2.10 ,6.85 ,1.50 ,2.00 ,1.93 ,0.93 ,0.90 ,7.26 ,1.70 ,0.70 ,0.49 ,0.26 ,1.00 ,,0.34 ,0.27 ,0.43 ,0.70 ,5.90 ,51.50 
호남석유화학,' 11170,화학제품제조업,금속/비금속/화학업,1 ,2.03 ,2.55 ,2.55 ,5.00 ,1.20 ,1.70 ,15.03 ,0.55 ,1.70 ,1.70 ,2.00 ,2.00 ,1.50 ,9.45 ,1.44 ,1.70 ,0.95 ,4.09 ,1.00 ,1.20 ,1.50 ,3.70 ,1.70 ,1.40 ,1.65 ,2.55 ,7.30 ,1.50 ,2.00 ,1.04 ,0.50 ,0.50 ,5.54 ,1.40 ,0.25 ,1.00 ,0.26 ,1.00 ,,0.66 ,0.26 ,0.70 ,0.85 ,6.38 ,51.49 
삼성테크윈,' 12450,정밀기기제조,전기전자/기계업,1 ,2.85 ,2.55 ,3.00 ,3.50 ,1.65 ,0.80 ,14.35 ,0.85 ,1.70 ,1.70 ,1.60 ,2.00 ,1.50 ,9.35 ,1.13 ,1.70 ,2.26 ,5.08 ,1.00 ,0.75 ,1.50 ,3.25 ,1.70 ,1.40 ,1.65 ,2.55 ,7.30 ,1.50 ,2.00 ,0.77 ,0.91 ,0.66 ,5.84 ,2.00 ,0.90 ,0.31 ,0.26 ,1.00 ,,0.25 ,0.32 ,0.39 ,0.85 ,6.28 ,51.45 
경농,' 02100,화학제품제조업,금속/비금속/화학업,2 ,2.12 ,2.10 ,2.55 ,5.00 ,2.10 ,1.10 ,14.97 ,0.85 ,1.70 ,1.70 ,1.60 ,0.50 ,1.50 ,7.85 ,1.44 ,1.70 ,3.00 ,6.14 ,1.00 ,0.75 ,1.50 ,3.25 ,1.70 ,0.50 ,1.65 ,2.55 ,6.40 ,1.50 ,2.00 ,0.91 ,1.58 ,0.89 ,6.88 ,2.00 ,0.25 ,0.40 ,0.26 ,1.00 ,,0.43 ,0.30 ,0.56 ,0.25 ,5.44 ,50.93 
롯데제과,' 04990,음식료품제조업,식약/섬유/종이업,1 ,2.28 ,2.55 ,3.00 ,5.00 ,1.65 ,1.70 ,16.18 ,0.55 ,1.70 ,1.70 ,2.00 ,1.10 ,2.00 ,9.05 ,0.87 ,0.80 ,1.81 ,3.48 ,1.00 ,1.20 ,1.00 ,3.20 ,1.70 ,1.40 ,1.65 ,2.55 ,7.30 ,0.50 ,2.00 ,0.83 ,1.97 ,2.00 ,7.30 ,0.50 ,0.70 ,0.42 ,0.26 ,1.00 ,,0.42 ,0.26 ,0.41 ,0.40 ,4.36 ,50.86 
롯데삼강,' 02270,음식료품제조업,식약/섬유/종이업,1 ,2.42 ,2.10 ,3.00 ,5.00 ,2.10 ,1.70 ,16.32 ,0.55 ,1.70 ,1.70 ,1.60 ,1.10 ,2.00 ,8.65 ,0.70 ,0.50 ,3.00 ,4.20 ,1.00 ,1.20 ,1.50 ,3.70 ,1.00 ,1.40 ,1.65 ,2.55 ,6.60 ,0.50 ,2.00 ,0.84 ,1.44 ,1.22 ,6.00 ,1.10 ,0.70 ,0.51 ,0.26 ,1.00 ,,0.38 ,0.26 ,0.45 ,0.40 ,5.06 ,50.53 
현대미포조선,' 10620,기타운송장비제조,전기전자/기계업,1 ,2.69 ,2.55 ,3.00 ,5.00 ,1.20 ,1.10 ,15.54 ,0.85 ,1.70 ,1.70 ,2.00 ,2.00 ,1.50 ,9.75 ,1.45 ,1.70 ,3.00 ,6.15 ,1.00 ,0.75 ,1.50 ,3.25 ,1.00 ,1.40 ,0.75 ,2.10 ,5.25 ,0.50 ,1.34 ,2.00 ,0.93 ,0.77 ,5.54 ,0.50 ,0.55 ,0.81 ,0.26 ,1.00 ,,0.29 ,0.29 ,0.41 ,0.85 ,4.96 ,50.44 
자화전자,' 33240,영상통신장비제조,전기전자/기계업,2 ,2.64 ,2.55 ,2.55 ,4.25 ,1.65 ,1.40 ,15.04 ,0.85 ,1.70 ,1.70 ,2.00 ,0.50 ,2.00 ,8.75 ,2.00 ,0.50 ,2.77 ,5.27 ,1.00 ,1.20 ,1.50 ,3.70 ,1.00 ,0.50 ,1.65 ,2.55 ,5.70 ,0.50 ,2.00 ,1.02 ,0.91 ,0.56 ,4.98 ,2.00 ,0.70 ,0.65 ,0.26 ,1.00 ,,0.60 ,0.29 ,0.48 ,0.85 ,6.82 ,50.25 
LG생활건강,' 51900,화학제품제조업(소비재),식약/섬유/종이업,1 ,2.82 ,2.55 ,3.00 ,2.75 ,2.10 ,1.70 ,14.92 ,0.85 ,1.70 ,1.70 ,2.00 ,1.50 ,1.50 ,9.25 ,0.61 ,0.50 ,1.59 ,2.70 ,1.00 ,1.20 ,0.50 ,2.70 ,1.70 ,0.50 ,2.55 ,2.55 ,7.30 ,1.50 ,2.00 ,0.85 ,1.94 ,1.69 ,7.98 ,1.10 ,0.90 ,0.58 ,0.26 ,1.00 ,,0.35 ,0.30 ,0.34 ,0.55 ,5.37 ,50.22 
환인제약,' 16580,화학제품제조업,식약/섬유/종이업,3 ,3.18 ,1.65 ,2.55 ,5.00 ,2.55 ,1.70 ,16.63 ,0.85 ,1.70 ,1.70 ,2.00 ,1.10 ,2.00 ,9.35 ,1.00 ,1.70 ,3.00 ,5.70 ,1.00 ,0.75 ,1.00 ,2.75 ,1.00 ,0.50 ,0.75 ,2.55 ,4.80 ,0.50 ,2.00 ,0.86 ,2.00 ,1.13 ,6.48 ,0.50 ,0.25 ,0.67 ,0.26 ,0.98 ,,0.75 ,0.28 ,0.41 ,0.40 ,4.50 ,50.20 
LG석유화학,' 12990,화학제품제조업,금속/비금속/화학업,1 ,2.62 ,2.55 ,2.10 ,5.00 ,2.55 ,1.70 ,16.52 ,0.85 ,1.70 ,1.70 ,2.00 ,1.50 ,1.50 ,9.25 ,0.78 ,0.50 ,1.29 ,2.57 ,1.00 ,0.75 ,1.50 ,3.25 ,1.70 ,1.40 ,1.65 ,2.55 ,7.30 ,1.50 ,2.00 ,0.95 ,0.50 ,0.50 ,5.45 ,1.10 ,0.40 ,0.99 ,0.26 ,1.00 ,,0.55 ,0.31 ,0.55 ,0.55 ,5.72 ,50.06 
S-Oil,' 10950,석유정제품제조,금속/비금속/화학업,1 ,2.78 ,2.55 ,2.55 ,2.75 ,2.55 ,1.70 ,14.88 ,0.85 ,1.70 ,1.10 ,2.00 ,2.00 ,2.00 ,9.65 ,1.34 ,1.70 ,0.75 ,3.79 ,1.70 ,1.20 ,1.50 ,4.40 ,1.70 ,1.40 ,2.10 ,2.55 ,7.75 ,0.50 ,2.00 ,0.94 ,0.50 ,0.60 ,4.55 ,0.50 ,0.25 ,1.00 ,0.26 ,1.00 ,,0.53 ,0.34 ,0.76 ,0.40 ,5.04 ,50.06 
삼일제약,' 00520,화학제품제조업,식약/섬유/종이업,3 ,2.95 ,1.65 ,2.10 ,4.25 ,2.55 ,1.70 ,15.20 ,0.85 ,1.70 ,1.70 ,2.00 ,0.50 ,2.00 ,8.75 ,1.00 ,1.70 ,3.00 ,5.70 ,1.00 ,0.75 ,1.00 ,2.75 ,1.00 ,0.50 ,0.75 ,2.55 ,4.80 ,0.50 ,2.00 ,0.94 ,1.78 ,1.97 ,7.19 ,1.70 ,0.25 ,0.59 ,0.26 ,1.00 ,,0.60 ,0.29 ,0.45 ,0.40 ,5.53 ,49.92 
대림산업,' 00210,종합건설업,비제조/서비스업,1 ,3.17 ,2.55 ,3.00 ,5.00 ,1.20 ,1.70 ,16.62 ,0.55 ,1.10 ,1.70 ,2.00 ,2.00 ,2.00 ,9.35 ,0.76 ,0.50 ,1.33 ,2.59 ,1.00 ,1.20 ,1.50 ,3.70 ,1.00 ,1.40 ,1.65 ,2.55 ,6.60 ,0.50 ,2.00 ,1.58 ,0.84 ,0.57 ,5.49 ,1.65 ,,0.82 ,0.26 ,,0.85 ,0.97 ,0.28 ,0.65 ,,5.49 ,49.84 
태평양,' 02790,화학제품제조업(소비재),식약/섬유/종이업,1 ,2.53 ,2.55 ,3.00 ,5.00 ,1.65 ,1.40 ,16.13 ,0.25 ,1.70 ,1.70 ,2.00 ,1.50 ,0.50 ,7.65 ,0.67 ,0.50 ,1.32 ,2.49 ,1.00 ,1.20 ,0.50 ,2.70 ,1.70 ,0.50 ,2.55 ,2.55 ,7.30 ,1.50 ,2.00 ,0.88 ,1.63 ,1.69 ,7.69 ,1.40 ,1.00 ,0.67 ,0.26 ,0.73 ,,0.66 ,0.27 ,0.46 ,0.40 ,5.85 ,49.81 
삼양제넥스,' 03940,음식료품제조업,식약/섬유/종이업,2 ,2.78 ,2.55 ,2.10 ,5.00 ,1.65 ,1.70 ,15.78 ,0.85 ,1.70 ,1.70 ,2.00 ,1.10 ,2.00 ,9.35 ,1.33 ,0.50 ,3.00 ,4.83 ,1.00 ,0.75 ,1.50 ,3.25 ,1.00 ,1.40 ,0.75 ,2.10 ,5.25 ,1.50 ,2.00 ,0.71 ,0.67 ,0.51 ,5.39 ,1.70 ,0.55 ,0.48 ,0.26 ,1.00 ,,0.50 ,0.28 ,0.50 ,0.55 ,5.82 ,49.68 
대우건설,' 47040,종합건설업,비제조/서비스업,1 ,2.44 ,2.55 ,3.00 ,2.75 ,2.10 ,1.10 ,13.94 ,0.85 ,1.70 ,1.70 ,2.00 ,2.00 ,2.00 ,10.25 ,0.60 ,1.70 ,2.83 ,5.13 ,1.00 ,1.20 ,1.50 ,3.70 ,1.70 ,0.50 ,0.75 ,2.55 ,5.50 ,1.50 ,2.00 ,1.00 ,0.98 ,1.02 ,6.51 ,1.65 ,,0.59 ,0.26 ,,0.55 ,0.91 ,0.28 ,0.40 ,,4.63 ,49.66 
삼성정밀화학,' 04000,화학제품제조업,금속/비금속/화학업,1 ,2.79 ,2.55 ,2.10 ,5.00 ,1.65 ,1.70 ,15.79 ,0.85 ,1.70 ,1.70 ,2.00 ,1.10 ,2.00 ,9.35 ,0.79 ,0.50 ,2.46 ,3.75 ,1.00 ,0.75 ,1.50 ,3.25 ,1.70 ,1.40 ,0.75 ,2.55 ,6.40 ,1.50 ,2.00 ,0.77 ,0.56 ,0.50 ,5.33 ,1.70 ,0.55 ,0.43 ,0.26 ,1.00 ,,0.34 ,0.30 ,0.47 ,0.70 ,5.74 ,49.61 
금강공업,' 14280,제1차금속산업,금속/비금속/화학업,2 ,3.90 ,2.55 ,2.55 ,2.75 ,2.55 ,1.70 ,16.00 ,0.85 ,1.70 ,1.70 ,2.00 ,0.50 ,2.00 ,8.75 ,2.00 ,0.50 ,3.00 ,5.50 ,1.00 ,1.20 ,1.50 ,3.70 ,1.00 ,0.50 ,0.75 ,2.55 ,4.80 ,0.50 ,2.00 ,1.49 ,0.94 ,0.84 ,5.77 ,1.10 ,0.70 ,0.63 ,0.26 ,0.78 ,,0.38 ,0.27 ,0.50 ,0.40 ,5.02 ,49.54 
삼성엔지니어링,' 28050,전문서비스업,비제조/서비스업,1 ,3.27 ,2.55 ,2.55 ,5.00 ,2.10 ,1.70 ,17.17 ,0.85 ,1.70 ,1.70 ,2.00 ,0.50 ,2.00 ,8.75 ,0.77 ,0.80 ,1.01 ,2.58 ,1.00 ,0.75 ,1.50 ,3.25 ,1.00 ,0.50 ,1.65 ,2.55 ,5.70 ,1.50 ,2.00 ,1.64 ,1.50 ,1.17 ,7.81 ,1.20 ,,0.60 ,0.26 ,,0.85 ,0.53 ,0.29 ,0.55 ,,4.28 ,49.54 
광동제약,' 09290,화학제품제조업,식약/섬유/종이업,2 ,3.47 ,2.10 ,2.55 ,4.25 ,2.55 ,1.70 ,16.62 ,0.85 ,1.70 ,1.70 ,1.60 ,0.50 ,2.00 ,8.35 ,1.63 ,0.50 ,2.01 ,4.14 ,1.00 ,0.75 ,1.00 ,2.75 ,1.00 ,0.50 ,0.75 ,2.55 ,4.80 ,0.50 ,2.00 ,1.30 ,1.96 ,1.73 ,7.49 ,1.40 ,0.40 ,0.59 ,0.26 ,1.00 ,,0.50 ,0.26 ,0.57 ,0.40 ,5.38 ,49.53 
대우조선해양,' 42660,기타운송장비제조,전기전자/기계업,1 ,2.92 ,2.55 ,3.00 ,2.75 ,2.55 ,1.70 ,15.47 ,0.55 ,1.70 ,1.70 ,2.00 ,2.00 ,2.00 ,9.95 ,2.00 ,0.50 ,1.22 ,3.72 ,1.00 ,0.75 ,1.50 ,3.25 ,1.70 ,1.40 ,0.75 ,2.10 ,5.95 ,0.50 ,2.00 ,0.93 ,0.76 ,0.92 ,5.11 ,1.40 ,0.85 ,0.61 ,0.26 ,0.88 ,,0.40 ,0.29 ,0.36 ,0.85 ,5.90 ,49.35 
삼진제약,' 05500,화학제품제조업,식약/섬유/종이업,2 ,3.42 ,2.10 ,1.65 ,3.50 ,2.55 ,1.70 ,14.92 ,0.85 ,1.70 ,1.70 ,2.00 ,1.10 ,2.00 ,9.35 ,0.66 ,0.50 ,2.64 ,3.79 ,1.00 ,0.75 ,1.00 ,2.75 ,1.70 ,0.50 ,0.75 ,2.55 ,5.50 ,0.50 ,2.00 ,0.93 ,2.00 ,1.78 ,7.22 ,2.00 ,0.25 ,0.56 ,0.26 ,0.98 ,,0.57 ,0.28 ,0.49 ,0.40 ,5.80 ,49.33 
